phase,action_type,edge
middle,do,"('P07.30', 'L03.90')"
middle,do,"('P07.30', 'Z51.11')"
middle,do,"('P07.30', 'K21.9')"
middle,do,"('P07.30', 'I21.9')"
middle,do,"('A41.9', 'J18.9')"
middle,do,"('A41.9', 'U07.1')"
middle,do,"('A41.9', 'S06.0X0A')"
middle,do,"('A41.9', 'K21.9')"
middle,do,"('A41.9', 'G43.9')"
middle,do,"('A41.9', 'Z51.11')"
middle,do,"('A41.9', 'G30.0')"
middle,do,"('A41.9', 'F80.9')"
middle,do,"('A41.9', 'G40.9')"
middle,do,"('A41.9', 'M54.5')"
middle,do,"('A41.9', 'T14.91')"
middle,do,"('A41.9', 'Q21.1')"
middle,do,"('J18.9', 'S06.0X0A')"
middle,do,"('J18.9', 'G40.9')"
middle,do,"('J18.9', 'I21.9')"
middle,do,"('J18.9', 'U07.1')"
middle,do,"('J18.9', 'T14.91')"
middle,do,"('J18.9', 'M54.5')"
middle,do,"('J18.9', 'G30.0')"
middle,do,"('J18.9', 'E11.9')"
middle,do,"('J18.9', 'Z51.11')"
middle,do,"('G30.0', 'E11.9')"
middle,do,"('G30.0', 'G30.0')"
middle,do,"('G30.0', 'F80.9')"
middle,do,"('G30.0', 'G43.9')"
middle,do,"('G30.0', 'U07.1')"
middle,do,"('G30.0', 'Z51.11')"
middle,do,"('G30.0', 'K35.80')"
middle,do,"('G30.0', 'G40.9')"
middle,do,"('G30.0', 'Q21.1')"
middle,do,"('G30.0', 'T14.91')"
middle,do,"('G30.0', 'B20')"
middle,do,"('E11.9', 'T14.91')"
middle,do,"('E11.9', 'G43.9')"
middle,do,"('E11.9', 'E11.9')"
middle,do,"('E11.9', 'F80.9')"
middle,do,"('E11.9', 'K35.80')"
middle,do,"('E11.9', 'G40.9')"
middle,do,"('E11.9', 'S06.0X0A')"
middle,do,"('E11.9', 'Q21.1')"
middle,do,"('E11.9', 'I21.9')"
middle,do,"('K35.80', 'K21.9')"
middle,do,"('K35.80', 'I21.9')"
middle,do,"('K35.80', 'Q21.1')"
